"id","quote","author"
"31","The End Of Life Is To Be Like God, And The Soul Following God Will Be Like Him.","Socrates"
"32","Let us sacrifice our today so that our children can have a better tomorrow.","Abdul Kalam"
"33","Your task is not to seek for love, but merely to seek and find all the barriers within yourself that you have built against it.","Rumi"
"34","In every religion there is love, yet love has no religion.","Rumi"
"35","Everything in the universe is within you. Ask all from yourself.","Rumi"
"36","I'm not a handsome guy, but I can give my hand to someone who needs help. Beauty is in the heart, not in the face.","Abdul Kalam"
"37","What Do I Wear In Bed? Why, Chanel No. 5, Of Course.","Marilyn Monroe"
"38","A Good Head And A Good Heart Are Always A Formidable Combination.","Nelson Mandela"
"39","The Soul Never Thinks Without A Picture.","Aristotle"
"40","In your light I learn how to love. In your beauty, how to make poems. You dance inside my chest where no-one sees you, but sometimes I do, and that sight becomes this art.","Rumi"
"41","Let the beauty we love be what we do. There are hundreds of ways to kneel and kiss the ground.","Rumi"
"42","If You Like Your Brother And He'S Prospering, You'Ll Be Pleased For Him.","Hamad Bin Isa Al Khalifa"
"43","Success Is Dependent Upon The Glands - Sweat Glands.","Zig Ziglar"
"44","Champions are not generated from the championship. Champion is generated from something they have in them, desires, dreams, and visions.","Muhammad Ali"
"45","No matter what is the environment around you, it is always possible to maintain your brand of integrity.","Abdul Kalam"
"46","Applause Waits On Success.","Benjamin Franklin"
"47","Just As Courage Imperils Life, Fear Protects It.","Leonardo Da Vinci"
"48","It'S Better To Be A Lion For A Day Than A Sheep All Your Life.","Elizabeth Kenny"
"49","The Devil'S Voice Is Sweet To Hear.","Stephen King"
"50","Sometimes the people with the worst past, create the best future.","Umar ibn Al-Khattāb (R.A)"
"51","Every day, nay every moment, try to do some good deed.","Abu Bakr (R.A)"
"52","No Matter What People Tell You, Words And Ideas Can Change The World.","Robin Williams"
"53","Champions have to have the skill and the will. But the will must be stronger than the skill.","Muhammad Ali"
"54","Men Occasionally Stumble Over The Truth, But Most Of Them Pick Themselves Up And Hurry Off As If Nothing Had Happened.","Winston Churchill"
"55","Goodbyes are only for those who love with their eyes. Because for those who love with heart and soul there is no such thing as separation.","Rumi"
"56","The best revenge is to improve yourself.","Ali ibn Abi Talib (R.A)"
"57","God gave me this illness to remind me that I'm not Number One; He is.","Muhammad Ali"
"58","Success Is A Personal Standard, Reaching For The Highest That Is In Us, Becoming All That We Can Be.","Zig Ziglar"
"59","When You Have Really Exhausted An Experience You Always Reverence And Love It.","Albert Camus"
"60","Now you see me, now you don't. George thinks he will, but I know he won't!","Muhammad Ali"
"61","Elegance Does Not Consist In Putting On A New Dress.","Coco Chanel"
"62","It Is Always Consoling To Think Of Suicide: In That Way One Gets Through Many A Bad Night.","Friedrich Nietzsche"
"63","Eating Words Has Never Given Me Indigestion.","Winston Churchill"
"64","India has to be transformed into a developed nation, a prosperous nation and a healthy nation, with a value system.","Abdul Kalam"
"65","It's not bragging if you can back it up.","Muhammad Ali"
"66","I Wish People Would Love Everybody Else The Way They Love Me. It Would Be A Better World.","Muhammad Ali"
"67","Why do I want my wife to show off her panties when the wind blows? Horses show their behinds, and cows and mules, not humans.","Muhammad Ali"
"68","Words Are Only Painted Fire; A Look Is The Fire Itself.","Mark Twain"
"69","Words, Without Power, Is Mere Philosophy.","Muhammad Iqbal"
"70","The cure for pain is in the pain.","Rumi"
"71","Whatever happens, just keep smiling and lose yourself in Love.","Rumi"
"72","Do The Right Thing. It Will Gratify Some People And Astonish The Rest.","Mark Twain"
"73","Only the soul knows what love is.","Rumi"
"74","Earning of livelihood by following some profession is better than living on charity.","Umar ibn Al-Khattāb (R.A)"
"75","Burdens are the foundations of ease and bitter things the forerunners of pleasure.","Rumi"
"76","Too Many Have Dispensed With Generosity In Order To Practice Charity.","Albert Camus"
"77","Even the greatest was once a beginner. Don't be afraid to take that first step.","Muhammad Ali"
"78","No Great Intellectual Thing Was Ever Done By Great Effort.","Theodore Roosevelt"
"79","To fight against one's desires is the greatest of all fights.","Ali ibn Abi Talib (R.A)"
"80","Innovation Distinguishes Between A Leader And A Follower.","Steve Jobs"
"81","We Enjoy The Process Far More Than The Proceeds.","Warren Buffett"
"82","When I Started Counting My Blessings, My Whole Life Turned Around.","Willie Nelson"
"83","This being human is a guest house. Every morning a new arrival. Welcome and entertain them all!","Rumi"
"84","All My Life I'Ve Looked At Words As Though I Were Seeing Them For The First Time.","Ernest Hemingway"
"85","Waiting Is Painful. Forgetting Is Painful. But Not Knowing Which To Do Is The Worse Kind Of Suffering.","Paulo Coelho"
"86","Never Allow Someone To Be Your Priority While Allowing Yourself To Be Their Option.","Mark Twain"
"87","To Jaw-Jaw Is Always Better Than To War-War.","Winston Churchill"
"88","That'S The Real Trouble With The World, Too Many People Grow Up","Walt Disney"
"89","It Is Easier To Stay Out Than Get Out.","Mark Twain"
"90","The worst man is the one who sees himself as the best.","Muhammad Ali"
"91","The World Breaks Everyone, And Afterward, Some Are Strong At The Broken Places.","Ernest Hemingway"
"92","Rule No.1: Never Lose Money. Rule No.2: Never Forget Rule No.1.","Warren Buffett"
"93","Convergence of our views on global trade issues under the WTO and our common resolve to combat terrorism provide a valuable base for mutual understanding.","Abdul Kalam"
"94","Whenever You Find Yourself On The Side Of The Majority, It Is Time To Pause And Reflect.","Mark Twain"
"95","Whatever Is Done For Love Always Occurs Beyond Good And Evil.","Friedrich Nietzsche"
"96","Things Should Be Made As Simple As Possible, But Not Any Simpler.","Albert Einstein"
"97","Stop acting so small. You are the universe in ecstatic motion.","Rumi"
"98","All Truth Is Simple... Is That Not Doubly A Lie?","Friedrich Nietzsche"
"99","Money Is Only A Tool. It Will Take You Wherever You Wish, But It Will Not Replace You As The Driver.","Ayn Rand"
"100","The fight is won or lost far away from witnesses - behind the lines, in the gym, and out there on the road, long before I dance under those lights.","Muhammad Ali"
"101","He who avoids complaint invites happiness.","Abu Bakr (R.A)"
"102","We are the mirror - As well as the face in it.","Rumi"
"103","Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.","Rumi"
"104","For 2,500 years, India has never invaded anybody.","Abdul Kalam"
"105","If Past History Was All There Was To The Game, The Richest People Would Be Librarians.","Warren Buffett"
"106","Your souls are precious and can only be equal to the price of Paradise, therefore sell them only at that price.","Ali ibn Abi Talib (R.A)"
"107","A Wise Man Can Learn More From A Foolish Question Than A Fool Can Learn From A Wise Answer.","Bruce Lee"
"108","If Allah wants for a people ill, he gives them debates and takes away from them actions.","Umar ibn Al-Khattāb (R.A)"
"109","He who builds a masjid in the way of Allah, God will build a house for him in the paradise.","Abu Bakr (R.A)"
"110","Love Is Blind; Friendship Closes Its Eyes.","Friedrich Nietzsche"
"111","Don'T Go Around Saying The World Owes You A Living. The World Owes You Nothing. It Was Here First.","Mark Twain"
"112","An alert and learned man will take advice from any event.","Ali ibn Abi Talib (R.A)"
"113","I don't count my sit-ups. I only start counting when it starts hurting. When I feel pain, that's when I start counting, because that's when it really counts.","Muhammad Ali"
"114","The wound is the place where the Light enters you.","Rumi"
"115","Luxury is an obstacle, and so is the fatness of the body.","Umar ibn Al-Khattāb (R.A)"
"116","Come, come, whoever you are. Wanderer, worshiper, lover of leaving. It doesn't matter. Ours is not a caravan of despair. come, even if you have broken your vows a thousand times. Come, yet again, come, come.","Rumi"
"117","The Golden Age Is Before Us, Not Behind Us.","William Shakespeare"
"118","Fiction Is The Truth Inside The Lie.","Stephen King"
"119","Believe You Can And You'Re Halfway There.","Theodore Roosevelt"
"120","All The Great Things Are Simple, And Many Can Be Expressed In A Single Word: Freedom, Justice, Honor, Duty, Mercy, Hope.","Winston Churchill"
"121","Allah's the Arabic term for God. Stand up for God, fight for God, work for God and do the right thing, and go the right way, things will end up in your corner.","Muhammad Ali"
"122","Anger Is Never Without A Reason, But Seldom With A Good One.","Benjamin Franklin"
"123","Good Actions Are A Guard Against The Blows Of Adversity.","Abu Bakr"
"124","Use the same measure for selling that you use for purchasing.","Abu Bakr (R.A)"
"125","The Secret Of Getting Ahead Is Getting Started","Mark Twain"
"126","I Don'T Know The Key To Success, But The Key To Failure Is Trying To Please Everybody.","Bill Cosby"
"127","Real Loss Is Only Possible When You Love Something More Than You Love Yourself.","Robin Williams"
"128","This Is The First Convention Of The Space Age - Where A Candidate Can Promise The Moon And Mean It.","David Brinkley"
"129","I Don'T Like That Man. I Must Get To Know Him Better.","Abraham Lincoln"
"130","To Shipbrokers, Coal Was Black Gold.","Roald Dahl"
"131","History, Despite Its Wrenching Pain, Cannot Be Unlived, But If Faced With Courage, Need Not Be Lived Again.","Maya Angelou"
"132","Everyone who is taken by death asks for more time, while everyone who still has time makes excuses for procrastination.","Ali ibn Abi Talib (R.A)"
"133","I wonder at a man who loses hope of salvation when the door of repentance is open for him.","Ali ibn Abi Talib (R.A)"
"134","Don't count the days, make the days count.","Muhammad Ali"
"135","Close your eyes, fall in Love, stay there.","Rumi"
"136","I Guess I Don'T So Much Mind Being Old, As I Mind Being Fat And Old.","Benjamin Franklin"
"137","It will be a killer, and a chiller, and a thriller, when I get the gorilla in Manila.","Muhammad Ali"
"138","I Dream Of An Africa Which Is In Peace With Itself.","Nelson Mandela"
"139","The Difference Between A Mountain And A Molehill Is Your Perspective.","Al Neuharth"
"140","I Am Certainly Not One Of Those Who Need To Be Prodded. In Fact, If Anything, I Am The Prod.","Winston Churchill"
"141","To the people that have said I'm too small, I'm not fast enough, I don't have what it takes, I'm not strong enough. THANK YOU.","Muhammad Ali"
"142","There is a King Who is aware of every Mask you put on.","Rumi"
"143","Be patient; patience is a pillar of faith.","Umar ibn Al-Khattāb (R.A)"
"144","The Very Ink With Which History Is Written Is Merely Fluid Prejudice.","Mark Twain"
"145","I was the first one in the gym, and the last one to leave.","Muhammad Ali"
"146","Art Is The Proper Task Of Life.","Friedrich Nietzsche"
"147","The Roots Of Education Are Bitter, But The Fruit Is Sweet.","Aristotle"
"148","Run away from greatness and greatness will follow you.","Abu Bakr (R.A)"
"149","You may learn to imitate a birdcall, but do you experience what the nightingale feels for the rose?","Rumi"
"150","Bad Men Are Full Of Repentance.","Aristotle"
"151","Blessed is he whose own faults keep him from seeing the faults of others.","Ali ibn Abi Talib (R.A)"
"152","The most helpless person is the one who is helpless in reforming himself.","Ali ibn Abi Talib (R.A)"
"153","He who fears to weep, should learn to be kind to those who weep.","Abu Bakr (R.A)"
"154","My wealth is in my knowledge of self, love, and spirituality.","Muhammad Ali"
"155","He who aspires to paradise should learn to deal with people with kindness.","Abu Bakr (R.A)"
"156","All God's creatures are His family; and he is the most beloved of God who tries to do most good to God's creatures.","Abdul Kalam"
"157","When I Do Good, I Feel Good. When I Do Bad, I Feel Bad. That'S My Religion.","Abraham Lincoln"
"158","Women are not equal with men, that's sure. When the woman is in danger she always looks to the man for help. We are superior by nature. The black or white woman needn't worry in life because the world is ruled by the white man.","Muhammad Ali"
"159","If you love someone, you are always joined with them - in joy, in absence, in solitude, in strife.","Rumi"
"160","I Am A Deeply Religious Nonbeliever - This Is A Somewhat New Kind Of Religion.","Albert Einstein"
"161","It Is The Supreme Art Of The Teacher To Awaken Joy In Creative Expression And Knowledge.","Albert Einstein"
"162","The best companion and helper is admirable morals.","Ali ibn Abi Talib (R.A)"
"163","Man Will Do Many Things To Get Himself Loved, He Will Do All Things To Get Himself Envied.","Mark Twain"
"164","When you seek advice, do not withhold any facts from the person whose advice you seek.","Abu Bakr (R.A)"
"165","I have never regretted my silence. As for my speech, I have regretted it over and over again.","Umar ibn Al-Khattāb (R.A)"
"166","Don't read success stories, you will only get a message. Read failure stories, you will get some ideas to get success.","Abdul Kalam"
"167","I Have Nothing To Offer But Blood, Toil, Tears And Sweat.","Winston Churchill"
"168","I died as a mineral and became a plant, I died as a plant and rose to animal, I died as an animal and I was Man. Why should I fear? When was I less by dying?","Rumi"
"169","All Men'S Souls Are Immortal, But The Souls Of The Righteous Are Immortal And Divine.","Socrates"
"170","Abstinence from sins is better than seeking help afterwards.","Ali ibn Abi Talib (R.A)"
"171","Inside the Great Mystery that is, we don't really own anything. What is this competition we feel then, before we go, one at a time, through the same gate?","Rumi"
"172","The only lasting beauty is the beauty of the heart.","Rumi"
"173","Change Your Opinions, Keep To Your Principles; Change Your Leaves, Keep Intact Your Roots.","Victor Hugo"
"174","Many Marriages Would Be Better If The Husband And The Wife Clearly Understood That They Are On The Same Side.","Zig Ziglar"
"175","Strong And Bitter Words Indicate A Weak Cause.","Victor Hugo"
"176","A man who views the world the same at fifty as he did at twenty has wasted thirty years of his life.","Muhammad Ali"
"177","Give up to grace. The ocean takes care of each wave 'til it gets to shore. You need more help than you know.","Rumi"
"178","The Superior Man Acts Before He Speaks, And Afterwards Speaks According To His Action.","Confucius"
"179","We'Re Getting Hurt, But I'M A Long-Term Investor.","Al Waleed Bin Talal"
"180","Recitation of the Qur'an without contemplation and thought is futile.","Ali ibn Abi Talib (R.A)"
"181","Success is not achieved by winning all the time. Real success comes when we rise after we fall. Some mountains are higher than others. Some roads steeper than the next. There are hardships and setbacks but you cannot let them stop you. Even on the steepest road you must not turn back.","Muhammad Ali"
"182","A Riot Is The Language Of The Unheard.","Martin Luther King, Jr."
"183","The Law Is Reason, Free From Passion.","Aristotle"
"184","The people who abandon Jihad fall a victim to humility and degradation.","Abu Bakr (R.A)"
"185","We are all born with a divine fire in us. Our efforts should be to give wings to this fire and fill the world with the glow of its goodness.","Abdul Kalam"
"186","Woman Was God'S Second Mistake.","Friedrich Nietzsche"
"187","All black Americans have slave names. They have white names; names that the slave master has given to them.","Muhammad Ali"
"188","I'm most proud of my family.","Muhammad Ali"
"189","And you? When will you begin that long journey into yourself?","Rumi"
"190","How many lessons there are and how little they are taken.","Ali ibn Abi Talib (R.A)"
"191","The best way to make your dreams come true is to wake up.","Muhammad Ali"
"192","What One Writer Can Make In The Solitude Of One Room Is Something No Power Can Easily Destroy.","Salman Rushdie"
"193","If There Is Something To Pardon In Everything, There Is Also Something To Condemn.","Friedrich Nietzsche"
"194","At Home I Am A Nice Guy: But I Don'T Want The World To Know. Humble People, I'Ve Found, Don'T Get Very Far.","Muhammad Ali"
"195","No amount of guilt can change the past and no amount of worrying can change the future.","Umar ibn Al-Khattāb (R.A)"
"196","Not the ones speaking the same language, but the ones sharing the same feeling understand each other.","Rumi"
"197","It Is Better To Deserve Honors And Not Have Them Than To Have Them And Not Deserve Them.","Mark Twain"
"198","Success Is A Lousy Teacher. It Seduces Smart People Into Thinking They Can'T Lose.","Bill Gates"
"199","Cursed is the man who dies, but the evil done by him survives.","Abu Bakr (R.A)"
"200","The Quality, Not The Longevity, Of One'S Life Is What Is Important.","Martin Luther King, Jr."
"201","Age is whatever you think it is. You are as old as you think you are.","Muhammad Ali"
"202","Derivatives Are Financial Weapons Of Mass Destruction.","Warren Buffett"
"203","Don't you know yet? It is your Light that lights the worlds.","Rumi"
"204","Hold on to your Salah, because if you lose that, you will lose everything else.","Umar ibn Al-Khattāb (R.A)"
"205","I am not this hair. I am not this skin. I am the soul that lives within.","Rumi"
"206","Be Faithful In Small Things Because It Is In Them That Your Strength Lies.","Mother Teresa"
"207","He who sleeps without offering the night prayer, may he never enjoy a sound sleep.","Umar ibn Al-Khattāb (R.A)"
"208","I Was Influenced A Lot By Those Around Me - There Was A Lot Of Singing That Went On In The Cotton Fields.","Willie Nelson"
"209","Greed is permanent slavery.","Ali ibn Abi Talib (R.A)"
"210","Everything That We See Is A Shadow Cast By That Which We Do Not See.","Martin Luther King, Jr."
"211","To The Master'S Honor All Must Turn, Each In Its Track, Without A Sound, Forever Tracing Newton'S Ground.","Albert Einstein"
"212","Women are the field that produces our nation. And if you can't protect your women, you can't protect your nation.","Muhammad Ali"
"213","To Give Victory To The Right, Not Bloody Bullets, But Peaceful Ballots Only, Are Necessary.","Abraham Lincoln"
"214","The Ache For Home Lives In All Of Us, The Safe Place Where We Can Go As We Are And Not Be Questioned.","Maya Angelou"
"215","You Were Born To Win, But To Be A Winner, You Must Plan To Win, Prepare To Win, And Expect To Win.","Zig Ziglar"
"216","Education Is What Remains After One Has Forgotten What One Has Learned In School.","Albert Einstein"
"217","I'll tell you how I'd like to be remembered: As a black man who won the heavyweight title - Who has humorous and who never looked down on those who looked up to him - A man who stood for freedom, justice and equality - And I wouldn't even mind if folks forgot how pretty I was.","Muhammad Ali"
"218","Tolerance and understanding won't 'trickle down' in our society any more than wealth does.","Muhammad Ali"
"219","It Does Not Do To Dwell On Dreams And Forget To Live.","J. K. Rowling"
"220","Courtesy costs nothing, but buys everything.","Ali ibn Abi Talib (R.A)"
"221","If patience and gratitude had been she camels, it would have mattered little on which I rode.","Umar ibn Al-Khattāb (R.A)"
"222","Success Consists Of Going From Failure To Failure Without Loss Of Enthusiasm.","Winston Churchill"
"223","When you advise any person you should be guided by the fear of God.","Abu Bakr (R.A)"
"224","A Candle never Loses any of its Light while Lighting up another candle.","Rumi"
"225","What Can You Do To Promote World Peace? Go Home And Love Your Family.","Mother Teresa"
"226","Love Is The Only Force Capable Of Transforming An Enemy Into Friend.","Martin Luther King  Jr."
"227","Children make you want to start life over.","Muhammad Ali"
"228","Our Scientific Power Has Outrun Our Spiritual Power. We Have Guided Missiles And Misguided Men.","Martin Luther King, Jr."
"229","After Coming Into Contact With A Religious Man I Always Feel I Must Wash My Hands.","Friedrich Nietzsche"
"230","I Am The Greatest, I Said That Even Before I Knew I Was.","Muhammad Ali"
"231","He who went to the kings to seek favors went away from Allah.","Umar ibn Al-Khattāb (R.A)"
"232","Oh writer! An Angel watches over all you write. Make your writing meaningful for it will eventually return to you and you will be questioned about what you wrote.","Ali ibn Abi Talib (R.A)"
"233","Speak a new language so that the world will be a new world.","Rumi"
"234","The sweetness of life lies in dispensing with formalities.","Muhammad Ali"
"235","O Love, O pure deep Love, be here, be now, be all...","Rumi"
"236","I Never Did A Day'S Work In My Life. It Was All Fun.","Thomas A. Edison"
"237","We have not invaded anyone. We have not conquered anyone. We have not grabbed their land, their culture, their history and tried to enforce our way of life on them.","Abdul Kalam"
"238","I have been a seeker and I still am, but I stopped asking the books and the stars. I started listening to the teaching of my Soul.","Rumi"
"239","Be active! Take on responsibility! Work for the things you believe in. If you do not, you are surrendering your fate to others.","Abdul Kalam"
"240","Don'T Tell Fish Stories Where The People Know You; But Particularly, Don'T Tell Them Where They Know The Fish.","Mark Twain"
"241","Developing nations want to become developed nations.","Abdul Kalam"
"242","We are born of love. Love is our mother.","Rumi"
"243","I Just Feel Happy To Be In America, Like I Said, It'S The Most Beautiful Country In The World.","Ahmed Ali"
"244","Do for this life as if you live forever, do for the afterlife as if you will die tomorrow.","Ali ibn Abi Talib (R.A)"
"245","You Know You Are On The Road To Success If You Would Do Your Job, And Not Be Paid For It.","Oprah Winfrey"
"246","A Compliment Is Something Like A Kiss Through A Veil.","Victor Hugo"
"247","Last night I had a dream. When I got to Africa, I had one hell of a rumble. I had to beat Tarzan's behind first, for claiming to be King of the Jungle.","Muhammad Ali"
"248","I Have Found The Paradox, That If You Love Until It Hurts, There Can Be No More Hurt, Only More Love.","Mother Teresa"
"249","After Climbing A Great Hill, One Only Finds That There Are Many More Hills To Climb.","Nelson Mandela"
"250","An Explanation Of Cause Is Not A Justification By Reason.","C. S. Lewis"
"251","His hands can't hit what his eyes can't see.","Muhammad Ali"
"252","Life Loves The Liver Of It.","Maya Angelou"
"253","Light up the fire of love inside and blaze the thoughts away.","Rumi"
"254","Don't sit and wait. Get out there, feel life. Touch the sun, and immerse in the sea.","Rumi"
"255","There is a way between voice and presence, where information flows. In disciplined silence it opens; with wandering talk it closes.","Rumi"
"256","Strength Does Not Come From Physical Capacity. It Comes From An Indomitable Will.","Mahatma Gandhi"
"257","This life is not real. I conquered the world and it did not bring me satisfaction.","Muhammad Ali"
"258","It'S Fine To Celebrate Success But It Is More Important To Heed The Lessons Of Failure.","Bill Gates"
"259","Stubbornness destroys good advice.","Ali ibn Abi Talib (R.A)"
"260","My definition of evil is unfriendliness.","Muhammad Ali"
"261","Climbing to the top demands strength, whether it is to the top of Mount Everest or to the top of your career.","Abdul Kalam"
"262","Pray, And Let God Worry.","Martin Luther"
"263","Miracles Do Not, In Fact, Break The Laws Of Nature.","C. S. Lewis"
"264","There is no greater wealth than wisdom, no greater poverty than ignorance; no greater heritage than culture and no greater support than consultation.","Ali ibn Abi Talib (R.A)"
"265","We Are What We Believe We Are.","C. S. Lewis"
"266","I Feel Much Freer Now That I Am Certain The Pope Is The Antichrist.","Martin Luther"
"267","Darkness Cannot Drive Out Darkness; Only Light Can Do That. Hate Cannot Drive Out Hate; Only Love Can Do That.","Martin Luther King  Jr."
"268","A developed India by 2020, or even earlier, is not a dream. It need not be a mere vision in the minds of many Indians. It is a mission we can all take up - and succeed.","Abdul Kalam"
"269","As To The Mental Essence, We Find It In Infants Devoid Of Every Mental Form.","Avicenna"
"270","Let not your love become attachment, nor your hate become destruction.","Umar ibn Al-Khattāb (R.A)"
"271","He Is Winding The Watch Of His Wit; By And By It Will Strike.","William Shakespeare"
"272","Don't be sad! Because God sends hope in the most desperate moments. Don't forget, the heaviest rain comes out of the darkest clouds.","Rumi"
"273","There Cannot Be A God Because If There Were One, I Could Not Believe That I Was Not He.","Friedrich Nietzsche"
"274","Don't get lost in your pain, know that one day your pain will become your cure.","Rumi"
"275","Silence gives answers.","Rumi"
"276","A Man Who Won'T Die For Something Is Not Fit To Live.","Martin Luther King, Jr."
"277","Solitude is better than the society of evil persons.","Abu Bakr (R.A)"
"278","The Only Real Progress Lies In Learning To Be Wrong All Alone.","Albert Camus"
"279","Drink! For You Know Not Whence You Came Nor Why: Drink! For You Know Not Why You Go, Nor Where.","Omar Khayyam"
"280","I Shall The Effect Of This Good Lesson Keeps As Watchman To My Heart.","William Shakespeare"
"281","Vanity prevents improvement.","Ali ibn Abi Talib (R.A)"
"282","Every Day, Nay Every Moment, Try To Do Some Good Deed.","Abu Bakr"
"283","Money cannot help lifting its head.","Umar ibn Al-Khattāb (R.A)"
"284","To Think Of Shadows Is A Serious Thing.","Victor Hugo"
"285","If We Really Want To Love We Must Learn How To Forgive.","Mother Teresa"
"286","Music Expresses That Which Cannot Be Put Into Words.","Victor Hugo"
"287","Love Is A Fruit In Season At All Times, And Within Reach Of Every Hand.","Mother Teresa"
"288","To be able to give away riches is mandatory if you wish to possess them. This is the only way that you will be truly rich.","Muhammad Ali"
"289","We Continue To Shape Our Personality All Our Life. If We Knew Ourselves Perfectly, We Should Die.","Albert Camus"
"290","Your longing for ME is my message to you, All your attempts to reach ME, Are in reality MY attempts to reach you.","Rumi"
"291","If you are greeted then return the greetings more warmly. If you are favored, then repay the obligation manifold; but he who takes the initiative will always excel in merit.","Ali ibn Abi Talib (R.A)"
"292","You have to keep breaking your heart until it opens.","Rumi"
"293","Prejudice comes from being in the dark; sunlight disinfects it.","Muhammad Ali"
"294","Never Put Off Till Tomorrow What You Can Do The Day After Tomorrow.","Mark Twain"
"295","Nothing hurts a good soul and kind heart more than to live amongst people who can't understand it.","Ali ibn Abi Talib (R.A)"
"296","Hope Is The Dream Of A Waking Man.","Aristotle"
"297","We Make A Living By What We Get, But We Make A Life By What We Give.","Winston Churchill"
"298","I am so mad with love that mad men say to me - be still!","Rumi"
"299","If you only say one prayer in a day make it Thank You.","Rumi"
"300","Life'S Most Persistent And Urgent Question Is, 'What Are You Doing For Others?'","Martin Luther King  Jr."
"301","Confidence and hard work is the best medicine to kill the disease called failure. It will make you successful person.","Abdul Kalam"
"302","The bird is powered by its own life and by its motivation.","Abdul Kalam"
"303","Allah's Generosity is connected to gratitude, and gratitude is linked to increase in His generosity. The generosity of Allah will not stop increasing unless the gratitude of the servant ceases.","Ali ibn Abi Talib (R.A)"
"304","Bear sorrows and calamities patiently, otherwise you will never be happy.","Ali ibn Abi Talib (R.A)"
"305","One lesson that every nation can learn from China is to focus more on creating village-level enterprises, quality health services and educational facilities.","Abdul Kalam"
"306","Like Slavery And Apartheid, Poverty Is Not Natural. It Is Man-Made And It Can Be Overcome And Eradicated By The Actions Of Human Beings.","Nelson Mandela"
"307","Never Do Anything Against Conscience Even If The State Demands It.","Albert Einstein"
"308","When you feel a peaceful joy, that's when you are near truth.","Rumi"
"309","I grow silent. Dear soul, you speak.","Rumi"
"310","All wars signify the failure of conflict resolution mechanisms, and they need post-war rebuilding of faith, trust and confidence.","Abdul Kalam"
"311","What you're thinking is what you're becoming.","Muhammad Ali"
"312","I Paint Self-Portraits Because I Am So Often Alone, Because I Am The Person I Know Best.","Frida Kahlo"
"313","In Music The Passions Enjoy Themselves.","Friedrich Nietzsche"
"314","That's how you came here, like a star without a name. Move across the night sky with those anonymous lights.","Rumi"
"315","Your light is more magnificent than sunrise or sunset.","Rumi"
"316","No One Has Ever Become Poor By Giving.","Anne Frank"
"317","Whatever pearl you seek, look for the pearl within the pearl!","Rumi"
"318","India should walk on her own shadow - we must have our own development model.","Abdul Kalam"
"319","You have escaped the cage. Your wings are stretched out. Now fly.","Rumi"
"320","Work As If You Were To Live A Hundred Years. Pray As If You Were To Die Tomorrow.","Benjamin Franklin"
"321","Whenever you are alone, remind yourself that God has sent everyone else away so that there is only you and Him.","Rumi"
"322","When a man puts me a question, I judge of his intelligence.","Umar ibn Al-Khattāb (R.A)"
